AL, 86, 2009051218, 01, CARQ, -24, 249N,  826W,  85,    0, HU,  34, AAA,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, DRCL,  36, 271N,  893W, 115,    0, HU,  50, NEQ,   90,   85,   75,   82, 
AL, 86, 2009051218, 03, DRCL,  36, 271N,  893W, 115,    0, HU,  64, NEQ,   57,   52,   48,   50, 
AL, 86, 2009051218, 03, DRCL,  48, 296N,  905W, 110,    0, HU,  34, NEQ,  168,  147,  129,  145, 
AL, 86, 2009051218, 03, DRCL,  48, 296N,  905W, 110,    0, HU,  50, NEQ,   93,   90,   80,   85, 
AL, 86, 2009051218, 03, DRCL,  48, 296N,  905W, 110,    0, HU,  64, NEQ,   60,   56,   52,   53, 
AL, 86, 2009051218, 03, DRCL,  72, 315N,  912W,  95,    0, HU,  34, NEQ,  161,  150,  135,  144, 
AL, 86, 2009051218, 03, DRCL,  72, 315N,  912W,  95,    0, HU,  50, NEQ,   89,   87,   80,   83, 
AL, 86, 2009051218, 03, DRCL,  72, 315N,  912W,  95,    0, HU,  64, NEQ,   58,   55,   52,   53, 
AL, 86, 2009051218, 03, DRCL,  96, 339N,  915W,  75,    0, HU,  34, NEQ,  149,  145,  126,  129, 
AL, 86, 2009051218, 03, DRCL,  96, 339N,  915W,  75,    0, HU,  50, NEQ,   75,   75,   67,   68, 
AL, 86, 2009051218, 03, DRCL,  96, 339N,  915W,  75,    0, HU,  64, NEQ,   46,   45,   42,   42, 
AL, 86, 2009051218, 03, DRCL, 120, 364N,  906W,  55,    0, TS,  34, NEQ,  110,  111,   94,   94, 
AL, 86, 2009051218, 03, DRCL, 120, 364N,  906W,  55,    0, TS,  50, NEQ,   48,   48,   43,   43, 
AL, 86, 2009051218, 03, MRCL,   0, 245N,  853W, 100,    0, HU,  34, NEQ,  140,   90,   90,  130, 
AL, 86, 2009051218, 03, MRCL,   0, 245N,  853W, 100,    0, HU,  50, NEQ,   70,   70,   60,   70, 
AL, 86, 2009051218, 03, MRCL,   0, 245N,  853W, 100,    0, HU,  64, NEQ,   45,   35,   35,   35, 
AL, 86, 2009051218, 03, MRCL,  12, 250N,  868W, 105,    0, HU,  34, NEQ,  140,   95,  105,  145, 
AL, 86, 2009051218, 03, MRCL,  12, 250N,  868W, 105,    0, HU,  50, NEQ,   80,   65,   60,   60, 
AL, 86, 2009051218, 03, MRCL,  12, 250N,  868W, 105,    0, HU,  64, NEQ,   45,   35,   35,   45, 
AL, 86, 2009051218, 03, MRCL,  24, 258N,  880W, 115,    0, HU,  34, NEQ,  155,  120,   85,  140, 
AL, 86, 2009051218, 03, MRCL,  24, 258N,  880W, 115,    0, HU,  50, NEQ,   85,   75,   65,   80, 
AL, 86, 2009051218, 03, MRCL,  24, 258N,  880W, 115,    0, HU,  64, NEQ,   80,   25,   25,   50, 
AL, 86, 2009051218, 03, MRCL,  36, 271N,  893W, 115,    0, HU,  34, NEQ,  150,  135,  110,  115, 
AL, 86, 2009051218, 03, MRCL,  36, 271N,  893W, 115,    0, HU,  50, NEQ,  105,   85,   65,   60, 
AL, 86, 2009051218, 03, MRCL,  36, 271N,  893W, 115,    0, HU,  64, NEQ,   65,   70,   30,   50, 
AL, 86, 2009051218, 03, MRCL,  48, 296N,  905W, 110,    0, HU,  34, NEQ,  165,  155,  140,  125, 
AL, 86, 2009051218, 03, MRCL,  48, 296N,  905W, 110,    0, HU,  50, NEQ,  110,   95,   75,   80, 
AL, 86, 2009051218, 03, MRCL,  48, 296N,  905W, 110,    0, HU,  64, NEQ,   75,   75,   40,   45, 
AL, 86, 2009051218, 03, MRCL,  72, 315N,  912W,  95,    0, HU,  34, NEQ,  155,  260,  110,  125, 
AL, 86, 2009051218, 03, MRCL,  72, 315N,  912W,  95,    0, HU,  50, NEQ,  105,  175,   80,   65, 
AL, 86, 2009051218, 03, MRCL,  72, 315N,  912W,  95,    0, HU,  64, NEQ,   70,  110,   40,   40, 
AL, 86, 2009051218, 03, SHF5,   0,   0N,    0W, 100,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHF5,  12,   0N,    0W,  97,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHF5,  24,   0N,    0W,  89,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHF5,  36,   0N,    0W,  78,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHF5,  48,   0N,    0W,  68,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHF5,  60,   0N,    0W,  60,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHF5,  72,   0N,    0W,  53,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHF5,  84,   0N,    0W,  50,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHF5,  96,   0N,    0W,  41,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHF5, 108,   0N,    0W,  34,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHFR,  12,   0N,    0W,  99,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHFR,  24,   0N,    0W,  98,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHFR,  36,   0N,    0W,  97,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHFR,  48,   0N,    0W,  98,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHFR,  60,   0N,    0W,  97,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, SHFR,  72,   0N,    0W,  96,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, XTRP,   0, 245N,  853W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, XTRP,  12, 246N,  865W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, XTRP,  24, 247N,  878W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, XTRP,  36, 248N,  891W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, XTRP,  48, 249N,  904W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, XTRP,  60, 250N,  917W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, XTRP,  72, 251N,  930W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, XTRP,  84, 252N,  943W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, XTRP,  96, 253N,  956W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, XTRP, 108, 254N,  970W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
AL, 86, 2009051218, 03, XTRP, 120, 255N,  983W,   0,    0,   ,   0,    ,    0,    0,    0,    0, 
